Booking_ID,number of adults,number of children,number of weekend nights,number of week nights,meal type,car parking,room type,lead time,market cluster,repeated,prev canc,not prev canc,price,special requests,date of reservation,status,number of people,number of nights,month,year
INN00023,2,0,2,4,Meal Plan 1,0,Room_Type 1,2,Offline,0,0,0,85.0,0,3/20/2018,Not_Canceled,2,6,3,2018
INN00024,2,0,0,3,Meal Plan 1,0,Room_Type 1,37,Offline,0,0,0,105.0,0,10/13/2018,Not_Canceled,2,3,10,2018
INN00025,2,0,2,1,Not Selected,0,Room_Type 1,130,Online,0,0,0,94.5,1,5/22/2018,Not_Canceled,2,3,5,2018
INN00026,2,0,0,2,Meal Plan 1,0,Room_Type 1,99,Online,0,0,0,114.3,1,4/28/2018,Not_Canceled,2,2,4,2018
INN00027,2,0,1,1,Meal Plan 1,0,Room_Type 1,60,Offline,0,0,0,65.0,0,9/21/2017,Not_Canceled,2,2,9,2017
INN00028,1,0,0,2,Meal Plan 1,0,Room_Type 4,2,Aviation,0,0,0,110.0,0,5/19/2018,Canceled,1,2,5,2018
INN00029,1,0,1,2,Meal Plan 1,0,Room_Type 1,37,Online,0,0,0,37.33,0,11/6/2017,Canceled,1,3,11,2017
INN00030,2,0,0,2,Meal Plan 2,0,Room_Type 1,56,Offline,0,0,0,82.0,0,9/17/2017,Not_Canceled,2,2,9,2017
INN00031,2,0,1,1,Meal Plan 1,0,Room_Type 4,3,Online,0,0,0,177.5,1,9/19/2017,Not_Canceled,2,2,9,2017
INN00032,2,0,2,2,Meal Plan 1,0,Room_Type 1,107,Online,0,0,0,87.5,1,11/13/2018,Not_Canceled,2,4,11,2018
INN00033,0,2,0,3,Meal Plan 1,0,Room_Type 2,56,Online,0,0,0,82.44,1,12/7/2018,Not_Canceled,2,3,12,2018
INN00034,2,0,0,1,Not Selected,0,Room_Type 1,2,Online,0,0,0,69.5,1,1/9/2018,Not_Canceled,2,1,1,2018
INN00035,2,0,0,2,Meal Plan 1,0,Room_Type 1,72,Offline,0,0,0,85.5,0,10/7/2018,Not_Canceled,2,2,10,2018
INN00036,2,0,0,1,Not Selected,1,Room_Type 1,23,Online,0,0,0,115.0,1,4/27/2018,Not_Canceled,2,1,4,2018
INN00037,1,0,2,1,Meal Plan 1,0,Room_Type 1,34,Online,0,0,0,81.0,0,6/19/2018,Canceled,1,3,6,2018
INN00038,2,0,0,1,Meal Plan 1,0,Room_Type 1,289,Offline,0,0,0,67.0,0,10/17/2017,Not_Canceled,2,1,10,2017
INN00039,2,0,2,3,Not Selected,0,Room_Type 1,247,Online,0,0,0,63.75,0,11/19/2018,Canceled,2,5,11,2018
INN00040,2,0,2,1,Meal Plan 1,0,Room_Type 4,186,Online,0,0,0,121.8,1,7/30/2018,Canceled,2,3,7,2018
INN00041,2,0,0,4,Meal Plan 1,0,Room_Type 1,64,Online,0,0,0,93.6,2,11/1/2018,Not_Canceled,2,4,11,2018
INN00042,2,0,0,2,Meal Plan 1,0,Room_Type 1,35,Online,0,0,0,102.0,1,6/21/2018,Not_Canceled,2,2,6,2018
INN00043,3,0,2,1,Meal Plan 1,0,Room_Type 1,96,Online,0,0,0,121.8,1,4/10/2018,Not_Canceled,3,3,4,2018
INN00044,2,0,1,1,Not Selected,0,Room_Type 1,41,Online,0,0,0,98.1,1,6/27/2018,Canceled,2,2,6,2018
INN00045,2,0,0,4,Meal Plan 1,0,Room_Type 4,55,Offline,0,0,0,60.0,1,11/18/2017,Not_Canceled,2,4,11,2017
INN00046,2,0,0,3,Meal Plan 1,0,Room_Type 1,146,Offline,0,0,0,75.0,0,12/29/2017,Not_Canceled,2,3,12,2017
INN00047,1,0,0,2,Meal Plan 1,0,Room_Type 1,32,Offline,0,0,0,73.0,0,11/20/2017,Not_Canceled,1,2,11,2017
INN00048,2,0,0,1,Meal Plan 2,0,Room_Type 1,55,Offline,0,0,0,104.0,0,4/6/2018,Not_Canceled,2,1,4,2018
INN00049,2,0,0,4,Not Selected,0,Room_Type 1,57,Online,0,0,0,79.2,1,11/1/2018,Not_Canceled,2,4,11,2018
INN00050,1,0,1,3,Meal Plan 1,0,Room_Type 4,7,Online,0,0,0,125.8,2,12/29/2018,Not_Canceled,1,4,12,2018
INN00051,1,0,2,5,Not Selected,0,Room_Type 1,124,Online,0,0,0,87.95,0,5/30/2018,Not_Canceled,1,7,5,2018
INN00052,2,0,2,2,Meal Plan 2,0,Room_Type 1,169,Online,0,0,0,106.0,0,4/22/2018,Canceled,2,4,4,2018
INN00053,1,0,1,2,Meal Plan 1,0,Room_Type 1,6,Online,0,0,0,136.67,1,5/16/2018,Not_Canceled,1,3,5,2018
INN00054,2,0,0,4,Meal Plan 1,0,Room_Type 4,51,Offline,0,0,0,60.0,1,11/11/2017,Not_Canceled,2,4,11,2017
INN00055,2,0,1,0,Not Selected,0,Room_Type 1,13,Online,0,0,0,89.0,2,6/13/2018,Not_Canceled,2,1,6,2018
INN00056,2,0,1,3,Meal Plan 1,0,Room_Type 1,100,Online,0,0,0,136.0,1,5/19/2018,Not_Canceled,2,4,5,2018
INN00057,2,0,0,1,Not Selected,0,Room_Type 1,139,Online,0,0,0,94.5,1,7/28/2018,Not_Canceled,2,1,7,2018
INN00058,2,0,1,2,Meal Plan 1,0,Room_Type 1,117,Online,0,0,0,93.6,2,12/26/2018,Not_Canceled,2,3,12,2018
INN00059,2,0,1,4,Meal Plan 1,0,Room_Type 4,39,Online,0,0,0,120.6,0,4/20/2018,Canceled,2,5,4,2018
INN00060,2,0,0,3,Meal Plan 1,0,Room_Type 4,86,Online,0,0,0,99.3,1,4/6/2018,Not_Canceled,2,3,4,2018
INN00062,1,0,0,3,Meal Plan 1,0,Room_Type 4,19,Online,0,0,0,120.12,2,5/3/2018,Not_Canceled,1,3,5,2018
INN00063,1,0,0,2,Meal Plan 1,0,Room_Type 1,192,Offline,0,0,0,95.0,0,6/24/2018,Not_Canceled,1,2,6,2018
INN00065,2,0,2,1,Meal Plan 1,0,Room_Type 1,86,Offline,0,0,0,75.0,0,12/18/2018,Not_Canceled,2,3,12,2018
INN00066,2,0,0,3,Meal Plan 1,0,Room_Type 4,30,Online,0,0,0,157.5,2,10/5/2018,Not_Canceled,2,3,10,2018
INN00067,2,0,0,2,Meal Plan 1,0,Room_Type 4,179,Online,0,0,0,97.7,1,6/3/2018,Not_Canceled,2,2,6,2018
INN00068,2,0,0,2,Meal Plan 1,0,Room_Type 4,26,Online,0,0,0,142.0,0,4/15/2018,Canceled,2,2,4,2018
INN00069,2,0,0,1,Meal Plan 1,0,Room_Type 1,55,Offline,0,0,0,80.0,0,4/6/2018,Not_Canceled,2,1,4,2018
INN00070,2,0,1,2,Meal Plan 1,0,Room_Type 1,74,Online,0,0,0,85.5,1,4/25/2018,Not_Canceled,2,3,4,2018
INN00071,2,0,0,3,Meal Plan 1,0,Room_Type 1,143,Offline,0,0,0,100.0,0,8/25/2018,Not_Canceled,2,3,8,2018
INN00072,2,0,1,0,Not Selected,0,Room_Type 1,34,Online,0,0,0,88.0,2,11/14/2018,Not_Canceled,2,1,11,2018
INN00073,2,0,1,1,Meal Plan 1,1,Room_Type 1,30,Online,0,0,0,122.85,1,8/29/2018,Not_Canceled,2,2,8,2018
INN00074,2,0,0,2,Meal Plan 1,0,Room_Type 1,177,Online,0,0,0,100.0,0,6/3/2018,Canceled,2,2,6,2018
INN00075,2,0,2,3,Meal Plan 1,0,Room_Type 4,34,Offline,0,0,0,75.0,0,10/25/2017,Not_Canceled,2,5,10,2017
INN00076,2,0,1,4,Meal Plan 1,0,Room_Type 4,18,Online,0,0,0,116.8,1,3/9/2018,Not_Canceled,2,5,3,2018
INN00077,3,0,1,1,Meal Plan 1,0,Room_Type 4,267,Online,0,0,0,121.5,0,12/31/2018,Not_Canceled,3,2,12,2018
INN00078,2,0,1,2,Meal Plan 1,0,Room_Type 1,64,Online,0,0,0,111.9,1,6/27/2018,Not_Canceled,2,3,6,2018
INN00079,3,0,2,5,Meal Plan 1,0,Room_Type 4,155,Online,0,0,0,121.55,2,6/28/2018,Canceled,3,7,6,2018
INN00080,2,0,0,5,Meal Plan 1,0,Room_Type 1,46,Offline,0,0,0,75.0,1,3/29/2018,Not_Canceled,2,5,3,2018
INN00081,2,2,0,2,Meal Plan 1,0,Room_Type 6,83,Online,0,0,0,159.3,0,4/1/2018,Canceled,4,2,4,2018
INN00082,2,0,0,5,Meal Plan 1,0,Room_Type 4,128,Online,0,0,0,132.3,0,10/11/2018,Canceled,2,5,10,2018
INN00083,2,0,2,0,Not Selected,0,Room_Type 1,20,Online,0,0,0,88.0,2,12/25/2018,Not_Canceled,2,2,12,2018
INN00084,2,0,1,4,Meal Plan 1,0,Room_Type 4,40,Online,0,0,0,98.82,0,3/14/2018,Not_Canceled,2,5,3,2018
INN00085,2,0,1,2,Meal Plan 1,1,Room_Type 4,46,Online,0,0,0,98.3,1,3/4/2018,Not_Canceled,2,3,3,2018
INN00086,1,0,1,0,Meal Plan 1,0,Room_Type 1,1,Online,0,0,0,150.0,2,10/17/2018,Not_Canceled,1,1,10,2018
INN00087,2,0,2,3,Not Selected,0,Room_Type 1,196,Online,0,0,0,96.05,1,9/4/2018,Not_Canceled,2,5,9,2018
INN00088,1,0,0,2,Meal Plan 1,0,Room_Type 1,188,Online,0,0,0,130.0,0,6/15/2018,Canceled,1,2,6,2018
INN00089,2,0,0,1,Not Selected,0,Room_Type 1,17,Online,1,0,5,95.0,0,12/10/2018,Not_Canceled,2,1,12,2018
INN00090,2,0,0,3,Meal Plan 1,0,Room_Type 5,146,Offline,0,0,0,113.56,0,8/9/2018,Not_Canceled,2,3,8,2018
INN00091,2,0,1,3,Not Selected,0,Room_Type 1,110,Online,0,0,0,101.58,1,5/5/2018,Not_Canceled,2,4,5,2018
INN00092,2,0,1,2,Meal Plan 1,1,Room_Type 1,68,Online,0,0,0,105.3,0,3/18/2018,Not_Canceled,2,3,3,2018
INN00093,2,0,2,1,Meal Plan 1,0,Room_Type 4,73,Online,0,0,0,115.8,1,4/9/2018,Not_Canceled,2,3,4,2018
INN00094,2,0,0,1,Meal Plan 1,0,Room_Type 4,92,Online,0,0,0,149.4,1,5/19/2018,Not_Canceled,2,1,5,2018
INN00095,2,0,2,5,Meal Plan 1,0,Room_Type 1,171,Online,0,0,0,111.59,0,8/30/2018,Canceled,2,7,8,2018
INN00096,2,1,0,2,Meal Plan 1,1,Room_Type 1,134,Online,0,0,0,130.5,2,8/4/2018,Not_Canceled,3,2,8,2018
INN00098,2,0,0,4,Meal Plan 1,0,Room_Type 1,118,Online,0,0,0,90.95,1,4/13/2018,Not_Canceled,2,4,4,2018
INN00099,2,0,0,3,Meal Plan 1,0,Room_Type 1,30,Online,0,0,0,76.08,1,11/17/2018,Not_Canceled,2,3,11,2018
INN00100,2,2,1,3,Meal Plan 1,0,Room_Type 6,30,Online,0,0,0,156.9,0,12/22/2018,Not_Canceled,4,4,12,2018
INN00101,2,0,1,0,Not Selected,0,Room_Type 1,189,Online,0,0,0,85.5,2,10/23/2018,Not_Canceled,2,1,10,2018
INN00102,3,0,1,2,Meal Plan 1,0,Room_Type 4,55,Online,0,0,0,159.3,2,5/13/2018,Not_Canceled,3,3,5,2018
INN00103,1,0,0,4,Meal Plan 1,0,Room_Type 1,55,Online,0,0,0,74.8,2,12/13/2018,Not_Canceled,1,4,12,2018
INN00104,2,0,0,1,Meal Plan 1,0,Room_Type 1,16,Online,0,0,0,95.0,1,10/31/2017,Not_Canceled,2,1,10,2017
INN00105,2,0,0,3,Meal Plan 1,0,Room_Type 1,24,Online,0,0,0,107.0,1,10/8/2017,Not_Canceled,2,3,10,2017
INN00106,2,0,0,3,Meal Plan 1,0,Room_Type 1,8,Offline,0,0,0,64.0,0,2/16/2018,Not_Canceled,2,3,2,2018
INN00107,2,0,1,4,Meal Plan 1,1,Room_Type 1,10,Online,0,0,0,82.95,0,11/2/2017,Not_Canceled,2,5,11,2017
INN00108,2,0,1,3,Meal Plan 1,0,Room_Type 4,0,Online,0,0,0,155.0,1,9/21/2017,Not_Canceled,2,4,9,2017
INN00109,2,0,0,1,Not Selected,0,Room_Type 1,12,Online,0,0,0,101.68,1,6/30/2018,Not_Canceled,2,1,6,2018
INN00110,2,0,2,1,Meal Plan 1,0,Room_Type 1,32,Online,0,0,0,94.5,3,9/5/2017,Not_Canceled,2,3,9,2017
INN00111,2,0,0,2,Meal Plan 1,0,Room_Type 1,182,Online,0,0,0,117.9,2,9/30/2018,Canceled,2,2,9,2018
INN00112,2,0,1,0,Not Selected,0,Room_Type 1,1,Online,0,0,0,127.0,1,6/27/2018,Not_Canceled,2,1,6,2018
INN00113,2,0,0,3,Not Selected,0,Room_Type 1,122,Online,0,0,0,116.1,2,6/16/2018,Not_Canceled,2,3,6,2018
INN00114,2,0,2,3,Meal Plan 1,0,Room_Type 1,40,Online,0,0,0,117.9,1,6/30/2018,Not_Canceled,2,5,6,2018
INN00116,3,0,2,2,Meal Plan 1,1,Room_Type 4,123,Online,0,0,0,155.7,1,8/13/2018,Not_Canceled,3,4,8,2018
INN00117,3,0,2,5,Meal Plan 1,0,Room_Type 4,40,Online,0,0,0,135.76,0,4/22/2018,Canceled,3,7,4,2018
INN00118,2,1,2,5,Meal Plan 1,0,Room_Type 1,105,Online,0,0,0,102.83,3,11/12/2018,Not_Canceled,3,7,11,2018
INN00120,2,0,2,3,Meal Plan 1,0,Room_Type 1,2,Online,0,0,0,103.0,1,11/14/2017,Not_Canceled,2,5,11,2017
INN00122,2,0,0,2,Meal Plan 2,0,Room_Type 1,286,Offline,0,0,0,58.5,0,9/16/2018,Not_Canceled,2,2,9,2018
INN00123,2,0,1,3,Meal Plan 1,0,Room_Type 1,68,Online,0,0,0,73.95,0,3/10/2018,Canceled,2,4,3,2018
INN00124,2,0,0,3,Meal Plan 1,0,Room_Type 1,148,Online,0,0,0,105.3,0,5/5/2018,Not_Canceled,2,3,5,2018
INN00125,3,0,2,0,Meal Plan 1,0,Room_Type 4,68,Online,0,0,0,133.2,2,4/24/2018,Not_Canceled,3,2,4,2018
INN00126,2,0,0,2,Meal Plan 1,0,Room_Type 1,30,Offline,0,0,0,85.5,0,3/30/2018,Not_Canceled,2,2,3,2018
INN00127,1,0,0,1,Meal Plan 1,0,Room_Type 1,14,Online,0,0,0,112.0,1,11/3/2018,Canceled,1,1,11,2018
INN00129,1,0,2,3,Meal Plan 1,0,Room_Type 1,117,Offline,0,0,0,110.0,0,6/5/2018,Not_Canceled,1,5,6,2018
INN00130,2,0,1,4,Meal Plan 1,0,Room_Type 4,85,Online,0,0,0,91.48,1,7/13/2018,Not_Canceled,2,5,7,2018
INN00131,2,0,0,2,Not Selected,0,Room_Type 1,1,Online,0,0,0,135.0,2,10/20/2018,Not_Canceled,2,2,10,2018
INN00132,1,0,1,2,Meal Plan 1,0,Room_Type 1,25,Online,0,0,0,129.0,2,10/17/2018,Not_Canceled,1,3,10,2018
INN00133,2,0,2,4,Not Selected,0,Room_Type 1,289,Online,0,0,0,70.55,2,12/28/2018,Canceled,2,6,12,2018
INN00134,2,0,1,4,Meal Plan 1,0,Room_Type 4,28,Offline,0,0,0,75.0,0,10/19/2017,Not_Canceled,2,5,10,2017
INN00135,1,0,0,4,Not Selected,0,Room_Type 1,80,Online,0,0,0,72.25,0,3/29/2018,Not_Canceled,1,4,3,2018
INN00136,2,0,0,1,Meal Plan 1,0,Room_Type 4,11,Online,0,0,0,155.0,2,10/9/2017,Not_Canceled,2,1,10,2017
INN00137,2,1,1,0,Meal Plan 1,0,Room_Type 1,162,Online,0,0,0,121.5,2,7/25/2018,Canceled,3,1,7,2018
INN00138,2,0,2,5,Meal Plan 1,0,Room_Type 1,155,Online,0,0,0,90.95,2,6/28/2018,Not_Canceled,2,7,6,2018
INN00139,1,0,2,2,Meal Plan 1,0,Room_Type 1,82,Online,0,0,0,109.65,0,5/22/2018,Not_Canceled,1,4,5,2018
INN00140,3,0,2,4,Meal Plan 1,0,Room_Type 4,27,Online,0,0,0,142.72,0,4/15/2018,Canceled,3,6,4,2018
INN00141,1,0,1,2,Meal Plan 1,0,Room_Type 1,13,Offline,0,0,0,90.0,0,5/9/2018,Not_Canceled,1,3,5,2018
INN00142,2,0,0,2,Meal Plan 1,0,Room_Type 1,245,Online,0,0,0,75.0,0,6/17/2018,Canceled,2,2,6,2018
INN00143,2,0,0,2,Meal Plan 1,0,Room_Type 1,11,Online,0,0,0,111.0,1,11/18/2018,Canceled,2,2,11,2018
INN00144,2,0,2,2,Meal Plan 1,0,Room_Type 1,266,Online,0,0,0,86.7,2,10/30/2018,Not_Canceled,2,4,10,2018
INN00145,2,0,1,0,Meal Plan 1,0,Room_Type 1,39,Online,0,0,0,117.9,1,3/28/2018,Not_Canceled,2,1,3,2018
INN00147,2,0,0,4,Not Selected,0,Room_Type 1,112,Online,0,0,0,101.58,1,5/4/2018,Not_Canceled,2,4,5,2018
INN00148,2,0,1,2,Not Selected,0,Room_Type 1,88,Online,0,0,0,58.9,1,4/8/2018,Not_Canceled,2,3,4,2018
INN00149,2,0,0,1,Meal Plan 1,0,Room_Type 1,56,Offline,0,0,0,120.0,0,6/8/2018,Not_Canceled,2,1,6,2018
INN00150,2,0,2,3,Meal Plan 1,0,Room_Type 4,73,Online,0,0,0,107.1,0,4/7/2018,Canceled,2,5,4,2018
INN00151,2,0,1,1,Meal Plan 1,0,Room_Type 1,80,Online,0,0,0,126.9,1,5/2/2018,Not_Canceled,2,2,5,2018
INN00152,2,0,0,3,Meal Plan 1,0,Room_Type 4,130,Online,0,0,0,139.5,2,9/29/2018,Canceled,2,3,9,2018
INN00153,2,0,1,3,Not Selected,0,Room_Type 1,69,Online,0,0,0,80.75,1,4/4/2018,Not_Canceled,2,4,4,2018
INN00154,2,0,0,2,Meal Plan 2,0,Room_Type 1,273,Online,0,0,0,109.0,0,7/17/2017,Canceled,2,2,7,2017
INN00155,2,0,0,1,Meal Plan 2,0,Room_Type 1,55,Offline,0,0,0,104.0,0,4/6/2018,Not_Canceled,2,1,4,2018
INN00156,1,0,0,3,Meal Plan 1,0,Room_Type 1,4,Corporate,1,1,5,65.0,1,11/1/2018,Not_Canceled,1,3,11,2018
INN00157,2,0,0,3,Meal Plan 1,0,Room_Type 4,97,Online,0,0,0,140.4,0,5/24/2018,Not_Canceled,2,3,5,2018
INN00158,2,0,0,3,Meal Plan 1,0,Room_Type 1,44,Offline,0,0,0,75.0,0,2/17/2018,Not_Canceled,2,3,2,2018
INN00159,2,0,0,1,Not Selected,0,Room_Type 1,31,Online,0,0,0,94.5,0,4/14/2018,Canceled,2,1,4,2018
INN00160,2,0,1,0,Not Selected,0,Room_Type 1,0,Online,0,0,0,109.0,0,6/5/2018,Not_Canceled,2,1,6,2018
INN00161,2,0,2,2,Meal Plan 1,0,Room_Type 1,62,Online,0,0,0,105.0,2,11/12/2018,Not_Canceled,2,4,11,2018
INN00162,2,0,2,2,Meal Plan 1,0,Room_Type 4,86,Online,0,0,0,107.95,1,4/17/2018,Not_Canceled,2,4,4,2018
INN00164,2,0,1,1,Not Selected,0,Room_Type 1,197,Online,0,0,0,85.5,1,8/1/2018,Not_Canceled,2,2,8,2018
INN00165,2,0,0,2,Meal Plan 1,0,Room_Type 1,143,Online,0,0,0,105.3,2,7/12/2018,Not_Canceled,2,2,7,2018
INN00167,2,0,0,2,Meal Plan 1,0,Room_Type 4,8,Online,0,0,0,156.0,0,6/15/2018,Canceled,2,2,6,2018
INN00168,1,0,0,2,Meal Plan 1,0,Room_Type 1,13,Online,0,0,0,73.15,1,11/16/2018,Not_Canceled,1,2,11,2018
INN00169,2,0,1,2,Meal Plan 1,0,Room_Type 1,280,Online,0,0,0,110.0,0,9/19/2018,Canceled,2,3,9,2018
INN00170,2,1,1,0,Not Selected,0,Room_Type 1,11,Online,0,0,0,87.4,1,9/13/2017,Not_Canceled,3,1,9,2017
INN00172,2,0,1,2,Not Selected,0,Room_Type 1,185,Online,0,0,0,79.2,0,12/16/2018,Canceled,2,3,12,2018
INN00173,2,0,1,3,Meal Plan 1,0,Room_Type 1,160,Online,0,0,0,90.95,1,6/30/2018,Not_Canceled,2,4,6,2018
INN00174,2,0,0,4,Meal Plan 1,0,Room_Type 1,104,Online,0,0,0,91.48,1,10/18/2018,Not_Canceled,2,4,10,2018
INN00175,2,1,0,1,Meal Plan 1,0,Room_Type 1,11,Online,0,0,0,150.0,1,11/5/2018,Canceled,3,1,11,2018
INN00176,2,0,0,1,Not Selected,0,Room_Type 1,2,Online,0,0,0,89.0,0,3/22/2018,Not_Canceled,2,1,3,2018
INN00177,2,0,1,4,Not Selected,0,Room_Type 1,14,Online,0,0,0,91.43,1,8/17/2018,Not_Canceled,2,5,8,2018
INN00178,2,0,0,2,Meal Plan 1,0,Room_Type 1,22,Offline,0,0,0,140.0,0,5/20/2018,Not_Canceled,2,2,5,2018
INN00179,1,1,2,5,Not Selected,0,Room_Type 1,37,Online,0,0,0,87.78,0,10/24/2017,Not_Canceled,2,7,10,2017
INN00181,2,0,0,3,Meal Plan 1,0,Room_Type 1,11,Online,0,0,0,80.85,1,9/9/2017,Not_Canceled,2,3,9,2017
INN00182,2,0,1,3,Meal Plan 1,0,Room_Type 1,86,Online,0,0,0,82.45,1,3/31/2018,Not_Canceled,2,4,3,2018
INN00183,2,0,0,1,Not Selected,0,Room_Type 1,109,Online,0,0,0,108.0,0,10/11/2018,Canceled,2,1,10,2018
INN00184,2,0,1,1,Meal Plan 1,0,Room_Type 4,72,Online,0,0,0,96.3,1,4/2/2018,Not_Canceled,2,2,4,2018
INN00185,2,0,1,5,Meal Plan 1,0,Room_Type 1,196,Online,0,0,0,99.45,0,8/22/2018,Canceled,2,6,8,2018
INN00186,2,0,0,2,Meal Plan 1,0,Room_Type 4,56,Online,0,0,0,140.4,1,5/13/2018,Not_Canceled,2,2,5,2018
INN00187,2,0,1,3,Meal Plan 1,0,Room_Type 1,189,Offline,0,0,0,72.25,0,8/8/2018,Not_Canceled,2,4,8,2018
INN00188,2,0,1,4,Meal Plan 1,0,Room_Type 4,126,Online,0,0,0,126.0,0,8/15/2018,Not_Canceled,2,5,8,2018
INN00190,1,0,2,2,Meal Plan 1,0,Room_Type 4,81,Online,0,0,0,146.6,1,11/6/2018,Not_Canceled,1,4,11,2018
INN00191,2,0,1,2,Meal Plan 1,0,Room_Type 1,54,Online,0,0,0,118.8,0,10/10/2018,Canceled,2,3,10,2018
INN00192,1,0,0,1,Meal Plan 1,0,Room_Type 1,15,Online,0,0,0,145.0,0,10/6/2018,Canceled,1,1,10,2018
INN00193,2,0,0,4,Meal Plan 1,0,Room_Type 1,86,Online,0,0,0,84.58,0,4/6/2018,Canceled,2,4,4,2018
INN00194,2,0,1,2,Meal Plan 2,0,Room_Type 1,161,Online,0,0,0,130.0,0,3/25/2018,Canceled,2,3,3,2018
INN00195,2,0,4,10,Meal Plan 1,0,Room_Type 4,147,Online,0,0,0,118.88,1,8/3/2018,Canceled,2,14,8,2018
INN00196,2,0,1,2,Meal Plan 1,0,Room_Type 1,92,Offline,0,0,0,101.52,0,5/30/2018,Not_Canceled,2,3,5,2018
INN00197,2,0,0,1,Meal Plan 1,0,Room_Type 1,87,Corporate,0,0,0,100.0,0,9/11/2017,Canceled,2,1,9,2017
INN00198,2,0,2,1,Meal Plan 1,0,Room_Type 1,109,Offline,0,0,0,58.0,0,3/20/2018,Not_Canceled,2,3,3,2018
INN00199,2,0,0,4,Meal Plan 1,0,Room_Type 1,127,Offline,0,0,0,61.5,2,3/23/2018,Not_Canceled,2,4,3,2018
INN00201,2,0,1,4,Not Selected,0,Room_Type 1,156,Online,0,0,0,87.3,1,8/24/2018,Not_Canceled,2,5,8,2018
INN00202,2,0,0,2,Meal Plan 1,0,Room_Type 1,80,Online,0,0,0,76.5,1,7/16/2017,Canceled,2,2,7,2017
INN00203,2,0,2,2,Not Selected,0,Room_Type 1,211,Online,0,0,0,63.75,0,12/16/2018,Canceled,2,4,12,2018
INN00204,2,0,1,2,Meal Plan 1,0,Room_Type 1,273,Online,0,0,0,95.0,0,5/13/2018,Canceled,2,3,5,2018
INN00205,2,0,2,1,Meal Plan 1,0,Room_Type 1,58,Offline,0,0,0,75.0,1,11/19/2018,Not_Canceled,2,3,11,2018
INN00207,2,0,1,3,Meal Plan 1,0,Room_Type 1,111,Online,0,0,0,101.58,1,5/2/2018,Not_Canceled,2,4,5,2018
INN00208,2,0,2,3,Meal Plan 1,0,Room_Type 1,34,Offline,0,0,0,85.0,0,8/21/2018,Not_Canceled,2,5,8,2018
